index,timestamp,x,y,z,Qx,Qy,Qz,Qw
188,1722943211.908697,-2.139437,2.378345,-0.357723,-0.006769,0.007114,0.999750,-0.020064
189,1722943212.709820,-2.158294,2.334891,-0.177166,-0.039538,0.020716,0.998544,-0.030278
190,1722943212.976785,-2.150147,2.332089,-0.050550,-0.011134,0.020114,0.999452,-0.023817
191,1722943213.377573,-2.153493,2.320194,-0.025105,0.004820,0.020970,0.999768,0.001180
192,1722943213.644568,-2.153988,2.313524,-0.021886,-0.000229,0.019829,0.997921,0.061329
193,1722943213.911605,-2.157112,2.331677,-0.026367,-0.007750,0.019248,0.989006,0.146410
194,1722943214.178686,-2.193093,2.367320,-0.031443,-0.004022,0.016775,0.974607,0.223257
195,1722943214.445775,-2.251729,2.427652,-0.026240,0.021709,0.005287,0.952436,0.303919
196,1722943214.713234,-2.308734,2.506799,-0.025738,0.025613,0.006354,0.926655,0.374986
197,1722943214.980266,-2.374500,2.575955,-0.032563,0.015999,-0.000872,0.899166,0.437314
198,1722943215.247336,-2.463018,2.649106,-0.034595,0.030254,0.001795,0.864483,0.501748
199,1722943215.513896,-2.535085,2.736732,-0.029771,0.021216,0.015764,0.830400,0.556541
200,1722943215.781139,-2.594016,2.856372,-0.040865,0.019237,0.004737,0.813687,0.580965
201,1722943216.181587,-2.680554,3.124839,-0.034680,0.018405,-0.011917,0.798510,0.601582
202,1722943216.715606,-2.818870,3.504944,-0.047097,0.025302,-0.016257,0.771152,0.635940
203,1722943216.982736,-2.866168,3.668434,-0.032329,0.021843,-0.019054,0.745036,0.666394
204,1722943217.650445,-2.882103,4.095759,-0.039955,0.011549,-0.020064,0.728706,0.684435
205,1722943218.184624,-2.889833,4.502769,-0.060013,0.010476,-0.018466,0.696008,0.717721
206,1722943218.451407,-2.859815,4.592010,-0.037915,0.012823,-0.009573,0.659450,0.751578
207,1722943218.985656,-2.789289,4.862497,-0.048982,0.002952,-0.031866,0.658559,0.751848
208,1722943219.386817,-2.728871,5.091365,-0.025991,0.007966,-0.053693,0.690295,0.721489
209,1722943219.789559,-2.712999,5.260091,-0.030707,0.023527,-0.029145,0.683248,0.729225
210,1722943220.321496,-2.714521,5.341515,-0.159305,0.023910,-0.039377,0.706542,0.706170
211,1722943220.588593,-2.707627,5.338379,-0.326009,-0.010366,0.007578,0.706407,0.707689
212,1722943220.988628,-2.689249,5.389635,-0.332657,-0.020075,0.020361,0.730796,0.681997
213,1722943221.255671,-2.685025,5.365146,-0.157691,-0.003743,0.032963,0.747576,0.663347
214,1722943221.789779,-2.649074,5.391661,-0.064081,0.004954,0.013295,0.775536,0.631144
215,1722943222.190266,-2.660700,5.505024,-0.055854,0.003255,0.011688,0.810341,0.585833
216,1722943222.457513,-2.674921,5.630616,-0.041577,0.005067,-0.000647,0.827235,0.561832
217,1722943222.724452,-2.698050,5.755447,-0.030638,-0.001649,-0.000560,0.846421,0.532511
218,1722943222.991609,-2.722689,5.891384,-0.030465,-0.000090,-0.001934,0.870097,0.492877
219,1722943223.258550,-2.735341,6.048651,-0.020457,0.004014,-0.024424,0.895165,0.445046
220,1722943223.525680,-2.750726,6.180973,-0.009539,-0.001946,-0.024106,0.922467,0.385317
221,1722943223.793420,-2.797875,6.300333,-0.022577,0.003435,-0.026456,0.932393,0.360460
222,1722943224.327353,-2.906343,6.511833,-0.024689,0.025724,-0.026420,0.942937,0.330923
223,1722943224.594475,-2.958944,6.582838,-0.032521,0.015854,-0.025291,0.963226,0.267031
224,1722943224.861588,-2.993198,6.641202,-0.046372,0.024771,-0.031007,0.987691,0.151299
225,1722943225.128628,-2.973881,6.678962,-0.103212,0.027185,-0.027881,0.998526,0.037808
226,1722943225.528567,-2.931140,6.645572,-0.360669,0.015819,0.003017,0.999791,0.012613
227,1722943226.196123,-2.962730,6.643903,-0.126970,-0.016746,0.026630,0.999332,-0.018582
228,1722943226.863755,-3.075901,6.691284,-0.010859,0.001069,0.016811,0.998203,-0.057508
229,1722943227.397797,-3.300230,6.733378,0.039353,0.027455,0.004936,0.998797,-0.040317
230,1722943227.798488,-3.550408,6.765220,0.088416,0.032465,-0.002721,0.999462,0.003787
231,1722943228.466710,-4.001090,6.847936,0.087293,0.021589,-0.018342,0.999382,-0.020821
